District,WKT,UniqueID,Entity Type,Scheme Name,Stage,Mode,LocalMember,Location Category,Local Member
South Hams,"MultiLineString ((-4.00065445943763365 50.34740116865385318, -4.00048827947379149 50.34748065735255551, -4.00037390846462948 50.34753533028271022, -4.00028957657343209 50.34757563546857284, -4.00018609023015781 50.34762508428229921, -3.99996299983588255 50.34773181388113983, -3.99975260598904203 50.3478323974944928, -3.99974169852179307 50.34783761445012829, -3.99974073038124134 50.34783807751151841, -3.99929206537176851 50.34805257328370232, -3.9989736053198861 50.34820482686843945, -3.99868403462211264 50.34832002404860418, -3.9986487047922421 50.34833408427931545, -3.99863667297291814 50.34833887411560482, -3.99846244153274055 50.34809947688810183, -3.99833492201830198 50.34755635478298075, -3.99833449192012669 50.34752946970039034, -3.99833438869154811 50.34752020758750035, -3.99834494229503745 50.34737648008867694, -3.99818011903249904 50.34701594827649984, -3.99814157035613427 50.34693161774583103, -3.99813152772895641 50.34692342576709478, -3.99812730347159695 50.34691990070022882, -3.99796761270095846 50.34678899176791589, -3.99796499388450011 50.34678687817187637, -3.9978957018488952 50.34673005655309908, -3.99773513367453548 50.34659853738046564, -3.99772641010616514 50.34659139740567468, -3.99758638418151069 50.34650700949946156, -3.99744635875194865 50.34642262141566249, -3.99722959621913487 50.34624152008631626, -3.99701271188131235 50.34606032067899406, -3.99674374316294978 50.34579034869199887, -3.99654368087310985 50.3456082348869387, -3.99631316484410082 50.34533670230242564, -3.99608265147204111 50.34506516920765051, -3.99597153737133493 50.34486893585330591, -3.99596668486632467 50.34486047472289272, -3.99587775239960852 50.344760999508118, -3.99578868998426406 50.34466143166148555, -3.99577401324007075 50.34465331900780427, -3.99575933650090809 50.34464520635213347, -3.99548956060936389 50.34418456986976764, -3.99546520840303154 50.34361691889156276, -3.99564851535138876 50.34328890558300884, -3.99615708520308344 50.3427638243064095, -3.99619601279992809 50.34272699653487848, -3.99623495820646557 50.3426902647506509, -3.99665967293305391 50.34216338244538491, -3.99666662238196402 50.34215480877767135, -3.99687476799958663 50.34189661004820238, -3.99689499987888253 50.34174228265422357, -3.99630433379214578 50.34055682952664768, -3.99610767204652273 50.34033472360449935, -3.99610045019417326 50.34032657070648753, -3.99605624550935801 50.34027786148601535, -3.99601911364457818 50.34023694572387342, -3.99601204091569073 50.34022915224358741, -3.99653734779601155 50.33961473835608302, -3.99662646120725151 50.33955456890878821, -3.99663042483532083 50.33955189265905972, -3.9975825999697987 50.33890900709123173, -3.99782085036266421 50.33859164843430278, -3.99786919603573088 50.33836722327674096, -3.99780304962859123 50.33812713617223977, -3.99670212021500371 50.33647546459224742, -3.99677524546287843 50.33608781993498837, -3.99746265733221362 50.33527544738356596, -3.99792409259512338 50.33485864849813396, -3.99952082059974767 50.33367852049664037, -3.99953676723872942 50.33366673387178025, -4.00153856846569322 50.33264455714811447, -4.00189614182869935 50.33229563097528825, -4.00230025806499512 50.3321581668789193, -4.00335881417463479 50.33197839896551784, -4.00444234285393286 50.33181123281032399, -4.00450712146106547 50.33180121193977641, -4.00553279173998344 50.33175186828454883, -4.00590946024412986 50.33173376918369257, -4.00611937878807467 50.33170675779559389, -4.00630414105350141 50.33168297276154135, -4.00633712535348074 50.331678720701575, -4.00637933443167871 50.33167331692801838, -4.00696646290278835 50.33159770770028985, -4.00787176394073974 50.33140318050071471, -4.009074647679995 50.33114469298933358, -4.00968708645969141 50.33091321278431707, -4.01179147055493868 50.32989241077680731, -4.01205509167182495 50.32978981059081747, -4.01207126770186839 50.32978350724473415, -4.01219464151083383 50.32975034264379133, -4.01244482197936136 50.32964222050060243, -4.01347458224709985 50.32930861008314594, -4.01472797084422961 50.32877450370908434, -4.01561670163887641 50.32830318837840622, -4.01625455073122684 50.32782380419068602, -4.01632468604552884 50.32776790356229668, -4.01738488421708961 50.32692367136851885, -4.01826115747452484 50.32637529129677745, -4.01890293470684856 50.32609261575576909, -4.02067786321205833 50.32553553523451484, -4.02068392628133697 50.32553273159507512, -4.0227880274957224 50.32453286399841375, -4.024060754713636 50.32378137411215846, -4.02525303605789109 50.32326350362008327, -4.02526610546482022 50.32326022245784003, -4.0259086066213241 50.32309900257908453, -4.02718503534304162 50.32290874632306554, -4.02801024671791552 50.32278570790697358, -4.02908990631944341 50.32250154480576754, -4.02922691245149078 50.32247310612511626, -4.03072814746427888 50.32216147887086777, -4.0323663647984791 50.32182139077129079, -4.03287721872817873 50.32168393458130851, -4.03331824675043826 50.32145757505280415, -4.03339616539062629 50.32140602739531232, -4.0344256228004074 50.32072496748230606, -4.03462920519142187 50.32038978815537433, -4.03483292523628734 50.32005460558447396, -4.03492203875805355 50.31937470229755149, -4.03501044665216746 50.31908983518638223, -4.03509887466633366 50.31880488133979412, -4.03569591001578676 50.31810097396432013, -4.0358344642066255 50.31793755120075673, -4.03606179268961895 50.31733995206718646, -4.03613918503886193 50.31708298105608179, -4.03621655526126943 50.3168260957786444, -4.03625216181266566 50.31655807127698665, -4.03628776800720068 50.31629004677771633, -4.03655315646758694 50.31619554480195688, -4.03664871439754247 50.31614739472022535, -4.03667677720582851 50.31613320721505289, -4.03669142767214773 50.31612755612036381, -4.03682091394352938 50.31607761556553271, -4.03699365683455458 50.31601099918795938, -4.03753717382194921 50.31580144130311538, -4.03759825118713067 50.31577779513746407, -4.03761110542027257 50.31577289280794218, -4.03783454380692408 50.31575197719354264, -4.03842707144929935 50.31609407843397008, -4.03854589999459002 50.31616268720531338, -4.03910362673827095 50.31636085386558221, -4.03966416308300325 50.31616834671575589, -4.04018503629476733 50.31561055597349252, -4.04070203619967483 50.31546449928973885, -4.04135939453947035 50.31527881979931749))",Route 4 - Yealmpton to Newton Ferrers,LCWIP,,,,,,
South Hams,"MultiLineString ((-4.10684678188940033 50.45105728269533074, -4.10535746991797179 50.45092698174440926, -4.10442510277751804 50.45067137169020555, -4.10424380593536142 50.45034979375493833, -4.10420495372753535 50.45006119581102411, -4.10439919485188209 50.44992926458832727, -4.10513731758005207 50.44993750978990477, -4.10568119344161886 50.44959943470011865, -4.10697613796024541 50.44889029450900608, -4.10814159040503846 50.44838729407889844, -4.10826494876696735 50.4483016010808285, -4.10856892204413171 50.44809043907827117, -4.10867251127682387 50.4473730315710398, -4.10881494579357209 50.44630102322921772, -4.10908687349010471 50.44495685589038203, -4.10909981737938956 50.44436310094062037, -4.10894419142162892 50.44353311758860769, -4.10890942546200488 50.44334769975581878, -4.10890541062251646 50.44332628725012313, -4.10889261362245595 50.44325803635486238, -4.10889261186519583 50.44307660547412553, -4.10895031506952879 50.44306925619963522, -4.10895316395590537 50.44298495449667996, -4.10897060615841347 50.44294641199043383, -4.10914165127749431 50.44256743407218835, -4.10914548977055194 50.4425587298327045, -4.10890464035536418 50.44252711655249755, -4.1088021300868105 50.44243902947102498))",Route 3 - Roborough to Dousland,LCWIP,,,,,,
South Hams,Point (-4.02401422 50.3792779),SCHEME_Deep Lane Pedestrian / Cycle Bridge,SCHEME,Deep Lane Pedestrian / Cycle Bridge,Detailed design,Active Travel,,Scheme - With Location,Cllr Tony Carson
South Hams,Point (-4.181846 50.371661),SCHEME_Freeport Langage Access Road Phase 1b,SCHEME,Freeport Langage Access Road Phase 1b,Project development,Highway,,Scheme - With Location,Multiple
South Hams,Point (-3.91510554 50.39087239),SCHEME_B3213 Exeter Road Crossing,SCHEME,B3213 Exeter Road Crossing,Detailed design,Active Travel,,Scheme - With Location,Cllr Victor Abbott
South Hams,Point (-3.64515452 50.2874479),SCHEME_Slapton Line Minor Network Improvements,SCHEME,Slapton Line Minor Network Improvements,Feasibility design,Highway,,Scheme - With Location,Cllr Julian Brazil
