District,WKT,UniqueID,Entity Type,Scheme Name,Stage,Mode,LocalMember,Location Category,Local Member
Mid Devon,"MultiLineString ((-3.55696861017720867 50.75835870953738294, -3.55706901976506185 50.75845773172367359, -3.55733153397979773 50.75871661625703268, -3.55759761845025446 50.75887314447838605, -3.55829499567581875 50.75912283603305042, -3.55923916607033863 50.75937029249229937, -3.55979685027691506 50.75951645040689186, -3.56050087466917553 50.75979481876933619, -3.56091651667784115 50.76002236410678137, -3.56154589010782452 50.76048401149400036, -3.5628976777640875 50.76147550918114604, -3.56403639651646564 50.76238871866894442, -3.56471442074407951 50.76293245477766902, -3.56508336979853446 50.76322832346521352, -3.56524203791260375 50.76335560859406115, -3.5653207419797841 50.7634194843702673, -3.56532657047450119 50.76342417262486606, -3.5667578421724162 50.76458533275442875, -3.56788295052734394 50.76515477984170843, -3.56789515786883626 50.76515938218965118, -3.56793967789750921 50.76517614077296514, -3.56889818848502527 50.76553782231670908, -3.56967819114537432 50.76583211053701206, -3.5706802881031332 50.76598706193922084, -3.57090978789343305 50.76602255180345225, -3.57100843198053841 50.76603786052178435, -3.57102225645647842 50.76603992260240261, -3.57155954766823358 50.76627124009181102, -3.57208830012817113 50.76649887674182793, -3.57225536646877639 50.7666014234730909, -3.57254120340645143 50.76677687098401748, -3.5725517800076938 50.76678356332504904, -3.57270682542400753 50.76688219825252446, -3.57326063942236649 50.76723428325753673, -3.57327063718662163 50.76724062361331136, -3.57373207441911012 50.76746822517739588, -3.57405826103334467 50.76758703190179034, -3.57558656216725046 50.76814358730172927, -3.57565030889259905 50.76816682822807536, -3.57566696339833845 50.76817289855630833, -3.57568462224491146 50.76817931504626102, -3.57723514302139067 50.76832023282703688, -3.57737519684160521 50.76833110887694289, -3.57805601515499694 50.76838401251340116, -3.57930425241266637 50.76848099733059172, -3.58111705551891202 50.76862739409297376, -3.58243400801371026 50.76883049669085324, -3.58247392305000378 50.76883661010427318, -3.58344873417804877 50.76898695557409269, -3.58379716051045083 50.76904069127545682, -3.58423638722829541 50.7691587436052103, -3.5842494112642016 50.76916225394971605, -3.58426189259225092 50.76916649114043167, -3.58448138389823745 50.76924076215073711, -3.58448325099063281 50.76924145625239504, -3.5853167589653725 50.76952367325399962, -3.58534079578224407 50.76953483264978928, -3.58593011647750481 50.76980842897079071, -3.58630873049076992 50.76998410856509025, -3.58635040480657441 50.77000344558641842, -3.58641610694476132 50.77003393884407956, -3.58642345511547278 50.77003734631483667, -3.58648382721093917 50.77006539388601425, -3.58705837328383392 50.7702422110371927, -3.58707141612818114 50.77024626043998978, -3.58708484163853925 50.77024904555400298, -3.58809734274233394 50.77045946744134852, -3.58815761481515327 50.77047195689003445, -3.58817875318425816 50.77047634558901024, -3.58819703510247434 50.77048014364699924, -3.58822160305255622 50.77048529503839092, -3.58835643269979787 50.77051331683454549, -3.58837114331111406 50.77051635410011698, -3.58838389673857883 50.77052022743052362, -3.58846857364618455 50.77054560463889032, -3.5885717353096056 50.77057657570764349, -3.58859645424633422 50.77058199476645228, -3.58905512666886306 50.77068294719111208, -3.58907184635849186 50.77068667646609157, -3.58932988689395183 50.7707429662327101, -3.58934331877327706 50.77074593086973664, -3.58935690765013105 50.7707493430367407, -3.59002743999145535 50.77091638358396608, -3.59004008239532624 50.77092115759080571, -3.59006063126186614 50.77092906142458162, -3.59007299015635972 50.77093383929356918, -3.59008628342754843 50.77093689566972756, -3.59037515222595882 50.77100301528458459, -3.59054381474896589 50.77104163506890444, -3.59107081336051115 50.77116224261791189, -3.59108310529612984 50.77116504274014375, -3.59109039601315772 50.77116674195193013, -3.59125001302928304 50.77120330857331254, -3.59125934627372523 50.77120544671530666, -3.59210579823925213 50.77149067662761439, -3.59302934838192689 50.77191586422815561, -3.59324403070885712 50.77201473698315226, -3.59442554017406168 50.77214248374863814, -3.59529642563535656 50.77243194324760367, -3.59559857034364638 50.77251675459157099, -3.59636166709276228 50.7727308770558281, -3.59642080615075077 50.77274742481152003, -3.59691541964512096 50.77288620681333953, -3.59806988744098177 50.77321012375122677, -3.59855118325908307 50.77334508393208523, -3.59992492142022558 50.7736902444458309, -3.60131165282744314 50.77403864784736953, -3.60397390541050155 50.77472756369851226, -3.60460904749627886 50.77495544392518667, -3.60544681730481598 50.77525598643735094, -3.60563967592736478 50.77532518894498281, -3.6062938812063754 50.77551700369011201, -3.60695783698212535 50.77571173815411498, -3.60729007073439556 50.77578238336426608, -3.60775940036450571 50.77588217824911254, -3.60838893605337319 50.77601595392597034, -3.60858668606995803 50.77605801386217621, -3.60869550478954837 50.77610426802873889, -3.60910746882436939 50.77627953266468808, -3.60911927017686063 50.77628449609493799, -3.61024306589370303 50.77721311596017273, -3.61024510944549704 50.77721479649729019, -3.61031372110406679 50.77727140713196263, -3.61056453114330989 50.77747865993313781, -3.61059532623167989 50.77749972896376107, -3.61071625461350143 50.77758253823716217, -3.61097214067168615 50.77775776235459659, -3.61193932122935601 50.77841989527468058, -3.61226414365371085 50.77864230962057235, -3.61327300822075292 50.77910501044489422, -3.61375450775971441 50.77927399871224168, -3.61405698263960318 50.77938015438441965, -3.61424609758635285 50.77942628137179781, -3.61457640695907756 50.77950687684663933, -3.61525004600824973 50.77967121223867508, -3.61553697714432287 50.77970588498373417, -3.61631838217598922 50.77980030607555051, -3.61724121712145896 50.77982348666046875, -3.61983088272745723 50.77964365307958161, -3.62117906289430902 50.77966089450170273, -3.62187659849346133 50.77973213740555281, -3.62202003718785281 50.77976980368560334, -3.62249688242136569 50.77989510474215251, -3.62366559894750084 50.78020215438269247, -3.62368807399383819 50.78020804696662083, -3.62377611546386813 50.78023119346536873, -3.6238854853792497 50.7802598886710399, -3.62393315752814971 50.78027244525865314, -3.62468945397317732 50.78047109969328687, -3.62480469428370267 50.78050133108524022, -3.62535528146057251 50.78064600829691244, -3.62588581377022567 50.78080948899516756, -3.6264774325690774 50.78109802362813952, -3.62831249003550704 50.78244482825561334, -3.62841349071209773 50.78251895260937943, -3.62945251621870391 50.78302606085913595, -3.6311286974430721 50.78349727062737173, -3.63145348967825887 50.78356910830542148, -3.63265841834980385 50.7838356050507258, -3.63484207908223622 50.78409442671542706, -3.63485831902592738 50.78409635751825135, -3.63533704589854434 50.78412696928585746, -3.63780959928624448 50.78428500604024975, -3.63863821153547828 50.78424377937655265, -3.63901533293732671 50.78416797190942589, -3.63913407477564377 50.78413149859098041, -3.63913477746222558 50.78413130884686666, -3.63914754874730573 50.78412735211695406, -3.63914913622334746 50.78413623332905757, -3.63915085476761613 50.7841457725255836, -3.63974212356214988 50.78401809721334814, -3.63975019643663256 50.78401806470994018, -3.64086994104599038 50.78405794639073889, -3.64111050377874657 50.78405766016051359, -3.64240538896615496 50.7840560716078997, -3.64294547924683076 50.78405541150743119, -3.64486220729815757 50.78405304868346093, -3.6453912282039056 50.78405239099139123, -3.64583843565257881 50.78409419641720746, -3.64606018843771906 50.78411489977189319, -3.64646131966131914 50.78422615299567155, -3.64676828943334552 50.78438684930298308, -3.64677927124243784 50.78439253999988523, -3.64678882765017542 50.78438592978622523, -3.64761429773794044 50.78381173140277127, -3.64762399252384339 50.78380502922492212, -3.64763500138308627 50.78379938769914759, -3.6481564919586158 50.78353318793880078, -3.64816750068889206 50.78352754636353694, -3.64817903699771273 50.78353286935997346, -3.64825964944003323 50.78357013230620254, -3.64827104081458042 50.78357536740711708, -3.64827702244216612 50.78358409647291438, -3.64841803622758531 50.7837938098021624, -3.64830597464956918 50.78392596691890759, -3.6480470483312506 50.78423132109929128, -3.6479549079713065 50.78433996166865683, -3.64793386830032773 50.78495181391798496, -3.64811951863585593 50.78538987006322714, -3.64856912111488407 50.78577157149446464, -3.64867917007670872 50.78586499911367724, -3.64875134589090644 50.78609376162453515, -3.64875597689597875 50.78610844542588865, -3.6487618013093126 50.78611672700520074, -3.64900859038764525 50.78646551175317114, -3.64899351835262609 50.78684344985914123, -3.64883082113379631 50.78737645353665187, -3.64882815644425573 50.78738539472296054, -3.64884249766673419 50.78738573159661485, -3.64928263540811004 50.78739497750637355, -3.64961046993338289 50.78740194293564514, -3.64981492459890644 50.78740633583699804, -3.65000576526949549 50.78738672858476377, -3.65196212247144603 50.78708221814635237, -3.65197580762667284 50.78708004575884871, -3.65197853207543188 50.78708891069011599, -3.65197867704811197 50.78708899857132053, -3.6521262536668786 50.78757255475559163, -3.65218782771501393 50.78842138393706307, -3.65219055826512617 50.78845857814847875, -3.6522383707911299 50.78911828999454059, -3.65223885414537808 50.78912394902160798, -3.65223945480511558 50.78913293396376361, -3.6522532927273601 50.7891350762405267, -3.65225429173255023 50.78913524195812812, -3.65306573535105716 50.78925675776186921, -3.65307957017376195 50.78925881005039855, -3.65307647760570653 50.78926766746257471, -3.65292067070168835 50.78971738966559712, -3.65277746449375229 50.79013023978397001, -3.65300715000612852 50.79140414468857045, -3.65300874356584693 50.79141311555365945, -3.65299611652198131 50.79141716168216192, -3.65296669960020948 50.79142666010397988))",Route 6 - Boniface Trail,LCWIP,,,,,,
Mid Devon,Point (-3.49135457 50.90287891),SCHEME_Mid Devon LCWIP,SCHEME,Mid Devon LCWIP,Strategic definition,Active Travel,,Scheme - With Location,Multiple
Mid Devon,Point (-3.55246871 50.75099092),SCHEME_Boniface Trail,SCHEME,Boniface Trail,Detailed design,Active Travel,,Scheme - With Location,Multiple
