GRID_ID,WKT
Route 2 - Ruby Way / Tarka Trail (Holsworthy to Meeth),"MultiLineString ((-4.35807218385177997 50.80605423816021471, -4.35809085053876988 50.80610419129143196, -4.35809410468957203 50.80611281717074945, -4.35605816857817718 50.80646966033179268, -4.35533598019294654 50.8067496111953858, -4.35477307086485421 50.80696781336492052, -4.35424294282870061 50.80724249602524623, -4.35351982772205925 50.80743382768323357, -4.35227358214355942 50.8076496508716815, -4.35181647714130992 50.80725324273841181, -4.3513429839210902 50.80692640071480781, -4.35053280096736916 50.80681996424250713, -4.34999464597577568 50.80670932643360516, -4.34981567446067174 50.80667252240115062, -4.34928150625752963 50.80697391210821934, -4.34910586014880174 50.8070730625456477, -4.34902648237866352 50.80711774358758959, -4.34864673779641109 50.80733207833443998, -4.34863761550399719 50.80733981716083747, -4.34841000885018758 50.80753187607771082, -4.34809764370674667 50.80779545260936203, -4.34707856952990923 50.80903657455344558, -4.34701862423369434 50.80910957930522898, -4.34666404216800473 50.80915599742512967, -4.34612866813931831 50.80924808163387496, -4.34563004432554045 50.80936456836591475, -4.34519614176701019 50.80947382332330875, -4.34501120874416813 50.80952493270309844, -4.34491933847141354 50.80952498210230317, -4.34484305206139076 50.80951392323233762, -4.34472815941922885 50.80947972583498284, -4.3446903740014271 50.80946844229978865, -4.34455292982864094 50.8094490798877203, -4.34441493624200969 50.80944907670379962, -4.34428004185765193 50.80946419148259707, -4.34374896312258052 50.80956343214163695, -4.34324068760558024 50.80968352844435998, -4.34301388089452534 50.80974014489722634, -4.34292210576397775 50.8097911789685952, -4.34282806922345177 50.80984638583876034, -4.34270136628493209 50.8098848090923525, -4.34211642503159023 50.81000713409982694, -4.33975227551682696 50.81050149727141729, -4.33836224298102735 50.81081549381823947, -4.33778988594601067 50.81095599966254639, -4.3373567784765763 50.81102069693194068, -4.33656257232307585 50.8111181643512424, -4.33598301159002997 50.81116853173448789, -4.33492128657762255 50.81132566125955918, -4.33369874078298789 50.81147358606890663, -4.33304717914744675 50.81154263818773131, -4.33234408510823332 50.81160373205580782, -4.33056541258275374 50.81174439427002198, -4.33000277049566051 50.81176668618312675, -4.32625228562759645 50.81191521078350348, -4.32604024549800048 50.81190909585527038, -4.32090103485451316 50.81176778602468147, -4.31731513599747441 50.81166905185778404, -4.31627685020772489 50.81162068358010941, -4.31109333372631554 50.81124662095250244, -4.31101322141451426 50.81137074475649484, -4.31088345310633869 50.81133501007438014, -4.31088341842341549 50.81133499728142056, -4.31078552136353998 50.81129888729048361, -4.31065319856205864 50.81119330045706306, -4.31047992693797699 50.81114503406760718, -4.31028491995770402 50.81109503130842597, -4.31009659066890904 50.81103331149710556, -4.30991818706239194 50.81097336541292009, -4.30978982980969061 50.81093166455882226, -4.30965658284425501 50.81089500898302447, -4.30946824678119356 50.81084002492917762, -4.30934320039232865 50.81079664807867857, -4.3091598367068924 50.81073338130510564, -4.3089815443010675 50.81067333988029588, -4.308823186740252 50.81061164615424985, -4.30867661282528847 50.81055169676207584, -4.30853160013024805 50.81049000650070013, -4.308389881941185 50.81042663280822325, -4.30824489122738363 50.810369979384717, -4.3080965750542628 50.81034837071352683, -4.30794491578353256 50.81037501771920262, -4.30778993604821014 50.81036998991248765, -4.30754007751883616 50.81027462233682002, -4.30746985308530039 50.81012833703585585, -4.30731818604561756 50.81006003136546667, -4.30719650132638598 50.81001334967233163, -4.3070632379427396 50.8099333469765142, -4.30693324996348981 50.80984663357456554, -4.30684347419016333 50.8097941656029306, -4.30682491356572417 50.80978331812860205, -4.30672320756908267 50.80970503920809023, -4.30663819900785594 50.809623371042278, -4.3065765431928007 50.80951003308477709, -4.30650993072776522 50.80942170509025146, -4.3063649311315908 50.8093650504819081, -4.30623327814354706 50.80925831144366356, -4.30613989581154222 50.80918499499441765, -4.3060349054014404 50.8091183738957497, -4.30592322376767278 50.80901330916426417, -4.3058199013068279 50.80891168570258998, -4.30570993768828014 50.80882502490102581, -4.3056315351161194 50.80871831292082419, -4.30556490943133507 50.80862504000207025, -4.30549485647158825 50.80853336379806251, -4.3054166040106665 50.80842503876016281, -4.30534319270026522 50.80831499003643614, -4.30528317832594531 50.80823003982438735, -4.30520491204457123 50.80812836156197676, -4.30513494456049628 50.80803839143240452, -4.30506152572346323 50.80791665933408296, -4.3050315660720555 50.80781672436605589, -4.30496485438902887 50.80772165308140131, -4.30489485858595078 50.80763339224700559, -4.30484152462450087 50.80753670737435357, -4.30479827479420862 50.80744503976283966, -4.30475160850031635 50.80734336625400971, -4.30470987638512081 50.80725166861402897, -4.30466490939495561 50.80714673260173697, -4.30460823733874332 50.80703671236754815, -4.30457991696898379 50.80692506153567933, -4.30453817895169166 50.80682832634831669, -4.30448661614138484 50.80673673384983147, -4.30443495054264424 50.8066499992783136, -4.30437491853710874 50.80655506548215783, -4.30431656609005309 50.80646333544735427, -4.30421661074150386 50.8063416774445713, -4.30414321235010799 50.80625833031074734, -4.30407318648528392 50.80617168851325971, -4.30406157013206148 50.8060784071728051, -4.30399825648398426 50.80598335723546199, -4.30394466360029249 50.80591812790721207, -4.30380613958497271 50.80573830456640394, -4.30359422675405234 50.80552204511280223, -4.30333714861770833 50.80529800671922658, -4.30292107575066307 50.80493540178203915, -4.30291953492664181 50.80493425631688353, -4.30285858235433061 50.80488894345491957, -4.30280687591499333 50.80488950132046, -4.30206973369479773 50.80449716883634892, -4.30145912122679341 50.80417217121287621, -4.30023402443683533 50.8036966047871843, -4.29822459204796825 50.80330787487289257, -4.29694435872102432 50.80325264449187728, -4.29462839535150565 50.80335942615197808, -4.29314714442803957 50.8036651146147662, -4.29178940857356128 50.80414638253833459, -4.2902056727169855 50.80497407775749252, -4.28772521004663876 50.80626861536379124, -4.28704368414896209 50.80654810237693653, -4.28520659278015614 50.80707192361405333, -4.28104151548601486 50.80774495059165474, -4.27692475839947939 50.80838193790836499, -4.273211676779753 50.80867645602731386, -4.26989738745363034 50.80842911296907971, -4.26632827196648989 50.80718737286930065, -4.26597121103890853 50.80678191490050466, -4.2662435116225268 50.8045830898006443, -4.26574167961432771 50.80371126039149487, -4.26369075313713797 50.80331743653383825, -4.26190073429449612 50.80309361427187298, -4.26015798176186333 50.80373940064320948, -4.25727402094222818 50.80257351396289778, -4.25409305288576345 50.80028238556276676, -4.2528549875026922 50.79855773667043906, -4.25009624127126795 50.7955764551299751, -4.24497756211177446 50.79370958740722131, -4.24000248740279417 50.79319169787218158, -4.23111860902569337 50.79238455215143944, -4.22082638632955121 50.79062764496678284, -4.2172472093207185 50.79007333139860236, -4.21814788791903794 50.79244660604919659, -4.21125491596978119 50.79229671203059837, -4.20991162898409765 50.79252239350888942, -4.20834199574723833 50.79278608045738252, -4.20243822160880764 50.79510143683562262, -4.2004554915948713 50.79607284112820764, -4.19975250975493086 50.79644770924078756, -4.19793447254879748 50.7977432705236609, -4.19722714677712982 50.798701968979735, -4.19474682461538073 50.80213880353385747, -4.19393634245012681 50.80376159810247572, -4.19417226940823618 50.80591840448127527, -4.19514625134019425 50.80739865271624467, -4.19581010980558933 50.80850442259963984, -4.19538264039441344 50.80863949114989708, -4.19164999784599779 50.81039658125433078, -4.19022838562437361 50.81096547445179112, -4.18577036645334388 50.81208402661599877, -4.18108591484352665 50.81347503659505804, -4.18084528102514774 50.81386724455690995, -4.17977115138898192 50.81394662428171216, -4.17855690390793733 50.81433643543390843, -4.17597016024551593 50.81485261424408861, -4.17545926399907597 50.81396079182327696, -4.17464092005465481 50.81313437654528542, -4.16324453002001071 50.81587313535863615, -4.1603050834226174 50.81485743952788425, -4.15833320680311314 50.81539923035471418))"
SCHEME_Bideford to Westward Ho! Cycle Route (Kenwith Valley Trail),Point (-4.2142131 51.02355539)
SCHEME_Clovelly Road Corridor,Point (-4.2416856 51.008889)
SCHEME_Appledore to Bideford,Point (-4.203659 51.044658)
SCHEME_A386 Great Torrington Crossing,Point (-4.1443784 50.95275447)
