GRID_ID,WKT
Route 2 - Ruby Way / Tarka Trail (Holsworthy to Meeth),"MultiLineString ((-4.15833320680311314 50.81539923035471418, -4.15662197888114004 50.81586936879866556, -4.15612425392525253 50.8165477719936618, -4.15401902382469146 50.81742664554777633, -4.15441317489153228 50.81805344941625435, -4.15351528452502361 50.81824486185016099, -4.15351830256255283 50.81824422243980877, -4.15347503508213123 50.81832923133475788, -4.15346522262220308 50.81833131144559701, -4.15346110854513384 50.81833247403639575, -4.15083960386042072 50.81908606311652221, -4.14946126073719412 50.81972921832401369, -4.14946122567508624 50.81972923821680865, -4.14816730035252057 50.82066413981777231, -4.14812384291366154 50.82069553862105948, -4.14807825584661316 50.82072844752207885, -4.14795411073552867 50.82081809753675117, -4.14737639838802163 50.82123559473004804, -4.14737636837748713 50.82123561357159502, -4.14669470183552047 50.82154995320875202, -4.14591696882837102 50.82190858244248233, -4.14477159353234015 50.82227826177101093, -4.14458256262543845 50.82233929573440179, -4.14362520798793899 50.82257652263328396, -4.14196683034343138 50.82265240541564566, -4.14073617084466239 50.82281620034933667, -4.13999605530369585 50.82298249606995455, -4.13962964721174842 50.82306476576403043, -4.13878748205490243 50.8231172647118683, -4.13838040593910339 50.82314263662799902, -4.13797082139720285 50.82316816562603634, -4.13742639323770511 50.82320211157751544, -4.13656898781296345 50.82342385429898002, -4.1365689494799609 50.8234238661735489, -4.13611434608231487 50.82361152806660698, -4.13599100143073883 50.8236624446159766, -4.13582575059696023 50.82373066057755295, -4.13582571288789858 50.82373067322264149, -4.13545507818836899 50.82379704974968604, -4.13375068333935047 50.82410232443130127, -4.13365395891929399 50.82411964806826177, -4.13364955869953477 50.82412045286352509, -4.13327802323363791 50.82410314434152099, -4.13326379059946891 50.82410241529464656, -4.13324954567007552 50.82410141665575765, -4.13270391283623351 50.82406201721990158, -4.13247360813303555 50.8240404151946592, -4.13156308515273896 50.82395497631384984, -4.13056501594637293 50.82372434995718891, -4.12953902249411886 50.82361617910229512, -4.12888645995216841 50.8235473878019377, -4.12815266840284156 50.82347003272486319, -4.1281169526140955 50.82346793953493602, -4.12730885200723119 50.82342057632400412, -4.1261116308558945 50.82335039606427074, -4.12587814140901799 50.82332305383391713, -4.12495921329778703 50.82321544006553893, -4.12307775092462858 50.8229950817136924, -4.11978371845786473 50.82312799157747207, -4.11952298480865409 50.82313850783486942, -4.11744670783555389 50.82334034892530639, -4.11730816831827351 50.82325975962102405, -4.11727212959133748 50.82306923885721517, -4.11727213488312227 50.8230692037368641, -4.11728398600240109 50.82303234271954295, -4.11744711230471871 50.82252484237718448, -4.11757878735035021 50.82211518508489689, -4.11757878588899295 50.82211515099192667, -4.11753302268644106 50.82191855377842415, -4.11744318668017772 50.82153271707113618, -4.11724743184891029 50.82069199095261069, -4.11724742977741798 50.82069195259057182, -4.1172707419382979 50.81996180959589537, -4.11727074452499586 50.81996176903776075, -4.1171166782086086 50.81969474957133315, -4.11703139107608962 50.81967143940951814, -4.11526122040490705 50.81918760760864728, -4.11462748012863422 50.81881497094205002, -4.11453846073037166 50.81856686794945688, -4.11453845299675969 50.81856682526970559, -4.11453838682078477 50.81852538290006294, -4.11453678174524384 50.81760968731585848, -4.11442175956050527 50.81734222727907024, -4.11367641572059117 50.81637154121676758, -4.11308136989310391 50.81579205727638993, -4.11307700987375657 50.81576920655924567, -4.11301831712118737 50.81546159742608637, -4.11301384117561319 50.81543793482800453, -4.11300828819156816 50.8154091649991102, -4.1130082846954128 50.81540912395540488, -4.1130089621839927 50.81538945685350228, -4.11306277981424895 50.81383943984165796, -4.11294212979384977 50.81383291023345805, -4.11276901759253644 50.81383423096467311, -4.1126504280519729 50.81383513557584308, -4.11236045299670305 50.81382998187191902, -4.11205220162064311 50.81384167819076936, -4.11173878701300133 50.81383997733702529, -4.11137546514682661 50.8138450249325544, -4.11125322880444877 50.81384510063202953, -4.11001490155584204 50.81384586028868711, -4.10990849353469212 50.81384051495392384, -4.10909961888741382 50.81371793515525326, -4.10899222783116524 50.81370166025277513, -4.10862048970182947 50.81367331349500205, -4.10829389972524606 50.81365170439508461, -4.10820630090313799 50.81363151802779043, -4.10792042048681783 50.81358957823714206, -4.1078057522746434 50.81359193272733421, -4.10757463003127388 50.81359667803287294, -4.1074707124200609 50.8135838157708335, -4.10717538403207438 50.81353850628214985, -4.10714769242097688 50.8135332161424671, -4.10700885522352799 50.81350669289599864, -4.1068008926432924 50.8134610916521936, -4.10671225421738306 50.81344165521464618, -4.10650142311782673 50.81336590790150609, -4.10639222364473255 50.81332667451015084, -4.10635919017743589 50.81332030353998164, -4.10602052525496219 50.81325498658880946, -4.10561883797047766 50.81317996246738034, -4.10527549966466854 50.81311666414313066, -4.10489722150923253 50.81306998626855886, -4.10455050924355636 50.812973298722099, -4.10426716806519032 50.81292166823219958, -4.10423896501766716 50.81291545473179383, -4.10397220676350916 50.81285668397657673, -4.10363055532596022 50.81279666912120518, -4.10334219607336959 50.81274837365037911, -4.10312720601292469 50.81271502452138833, -4.10281057682189765 50.81268836386839638, -4.10249885977314932 50.81266170376105151, -4.10218054507330177 50.81263669066451172, -4.10203504198725799 50.81263078302771419, -4.10181510489378187 50.81262561089160101, -4.10118454789683629 50.81263553135983813, -4.10099869543102713 50.81264751298247262, -4.10097703783749168 50.81264889237993287, -4.1009779483631581 50.81264612518587143, -4.10085891419759463 50.81265330518117196, -4.10053053654324451 50.81268834975794135, -4.10019724252304485 50.81272330204642884, -4.0998772920926001 50.81277663124667043, -4.09956062103140706 50.81284832704351118, -4.09924898814913963 50.81292001404824532, -4.0989588832999555 50.81299662638444659, -4.09865055095632069 50.8130716781263132, -4.0983590062659232 50.81316332731429952, -4.09807735123122541 50.81326666790766211, -4.09782894661849006 50.81337327807516857, -4.09756899328153779 50.81346993327631623, -4.09734061972987629 50.81359496934077669, -4.09707901188224177 50.81371493722782873, -4.09682398000556613 50.81384827701143081, -4.09677579717053586 50.81387576268762984, -4.09657562325124491 50.81398995042366096, -4.0963573009973242 50.81414330611293906, -4.09615234043637155 50.81429992886063474, -4.09595905216514922 50.81447657845475874, -4.09576237331644855 50.81464824221097842, -4.09557567917828091 50.81482324192798927, -4.09541573413479298 50.81498661033258912, -4.09529407566595438 50.8150983040834987, -4.0951507486530101 50.81527989993141858, -4.09498072742566688 50.81546655374385324, -4.09482070567401824 50.81562830288605426, -4.09470575065507436 50.81574329325592743, -4.09451578377659953 50.815931562747501, -4.09437571543389822 50.81609987820053931, -4.09423239082214874 50.81625826882386576, -4.09408246242541995 50.81641821681579074, -4.09397632317790272 50.81653633452545193, -4.09390574139020025 50.81661488152115425, -4.09376578636425137 50.81678328410281864, -4.09358071381017297 50.81701326728846624, -4.09343411676641633 50.81717989995599538, -4.09326749849727189 50.81735660423775869, -4.0931058004643468 50.81754652362489821, -4.09292583577617286 50.81773658972901586, -4.09275583404846799 50.81792153021908831, -4.09259074739850526 50.81810656215545663, -4.09242078416167843 50.81828988255703194, -4.09225243036790065 50.81846985512110138, -4.09207752276682069 50.81864489944610597, -4.09190753694107556 50.81881986513001692, -4.09174250107285342 50.81899823858353216, -4.09160085964727838 50.81917656288043617, -4.09154302243266255 50.81925318371943945, -4.09110901098831103 50.81909565939774609, -4.08987875529922906 50.8188281948648708, -4.08924831443922709 50.81870811863588955, -4.08793089122156861 50.81845718399362255, -4.08580252015195011 50.81796957199342302, -4.08520905821028535 50.81779784905209141, -4.08461607907283408 50.81762626150163698, -4.08206764741975547 50.81660187392267858, -4.0817383699153833 50.8164510077736864, -4.08124937107463381 50.81622695800456313, -4.07948213458195497 50.81541720896004932, -4.07948207232920712 50.81541722786440118, -4.07946992681272036 50.81542185132400391, -4.07852881695424418 50.81577292258301526, -4.07802052909201862 50.8160809960183002, -4.07802049012084655 50.81608102196217658, -4.07563541112435779 50.81704774872449093, -4.07559054364800222 50.81706593369040803, -4.07557854851692181 50.81707082124641062, -4.07557513195849541 50.81707250755268035, -4.07540744975209179 50.8171560652869303, -4.07540245812041757 50.81715856644336782, -4.07540242320602708 50.81715858626205318, -4.07519329550987308 50.81727299939318243, -4.07519326542925331 50.81727302060811269, -4.07486920661562202 50.81765535351517826, -4.07376483452554616 50.81847841571999425, -4.07744772565482716 50.82174377241975805, -4.07613957868398646 50.82448407446874228, -4.07365316898092633 50.82910992508961101, -4.07485312221161511 50.83340384458774963, -4.07618966337115651 50.83508485713363712, -4.07438566957754755 50.83741111481460706, -4.07672455719830307 50.83955040453733432, -4.07734853854188373 50.84033841576260215, -4.07867590493776522 50.84180646475433463, -4.08019520271187108 50.84380382454161662, -4.07565734009635783 50.84393791133182816, -4.07192099548186182 50.84506980957600319, -4.06878461543584002 50.84515482149832621, -4.06563558958019122 50.85136110825094136))"
Route 3 - Roborough to Dousland,"MultiLineString ((-4.06169118588010036 50.49623929389073851, -4.06496852664684472 50.49597384926276078, -4.06737863335398053 50.49599205145278802, -4.0723495668590699 50.49597683474600274, -4.07494498550215756 50.49629650410712856, -4.07591795799271406 50.49668165425502053, -4.07694317122382088 50.49607791167098014, -4.07764179745646693 50.49500430893784397, -4.08020457246988411 50.49197028379464314, -4.08153602271821025 50.49181231501769673, -4.08239554694122297 50.491357854348486, -4.08387828443079481 50.49246562518798243, -4.0872464096954646 50.49117863376623205, -4.08861076123438405 50.49037275723567575, -4.08978618467823729 50.4896483973627852, -4.09029545437887343 50.48850063862172277, -4.09161361484135533 50.48704810978229318, -4.09132449689781375 50.48525608039881263, -4.09053383563068529 50.48438841546592215, -4.08897890995682989 50.48364609245711421, -4.08818755951870472 50.48315796212385465, -4.08759863167802795 50.48249875291962496, -4.08749281170627565 50.48168576004869124, -4.08763271575010023 50.48089068581113992, -4.0874072655211906 50.47974495160227804, -4.08765450749787451 50.47900376647027088, -4.0879494873092872 50.47855195954431196, -4.08808271442136562 50.47800258771388116, -4.08747124056702038 50.47683028921785819, -4.0876628069309433 50.47641382615250194, -4.08930984687190335 50.47568100916284095, -4.08954816009396538 50.47553161325699023, -4.08968333075838419 50.47502685646940535, -4.08885496758733602 50.47409288073447442, -4.08854111016938404 50.47371897498766202, -4.08847441425336378 50.47339644800743486, -4.08893653182256323 50.4723723316735331, -4.09032888276778905 50.47142081281940307, -4.09117938071496923 50.47047901400262759, -4.09283451055464731 50.46914320378907348, -4.09307793849572388 50.46871463585844708, -4.09272420553427718 50.4682298292071394, -4.0912241821701345 50.4675312032422454, -4.08918362935167945 50.4668625866286007, -4.09581382628933177 50.46375521350058335, -4.09844256468919799 50.4625681798689385, -4.1004108770389065 50.4616036933152543, -4.10175275409175821 50.46109979292586445, -4.1022535954721322 50.46091170905870626, -4.10264122117775898 50.46076613922666354, -4.10288420975885071 50.46035064658529024, -4.10316909012333486 50.45985601505753948, -4.10354461998559206 50.45955098883741385, -4.10366115462925851 50.45891620107384057, -4.10395898919243951 50.4585369693864223, -4.10424387270886015 50.4579516281905498, -4.10437336214131321 50.45732505855254857, -4.10459349840157728 50.45673970281303866, -4.10488205423847852 50.45607251018360273, -4.10515674525269247 50.45571057331149945, -4.10534077402474029 50.45532171906486951, -4.10579026923903623 50.45427957016836729, -4.10599916930993825 50.45394737951009034, -4.10685408128692231 50.45204711648388951, -4.10705501112470639 50.45111946808061276, -4.10705385727894079 50.45107539828442356, -4.10684678188940033 50.45105728269533074))"
SCHEME_Crediton Road Crossing,Point (-3.98720179 50.74556325)
SCHEME_Drakes Trail - Yelverton to Dousland,Point (-4.098663 50.470644)
