Scheme Name,wkt_geometry
Boniface Trail,"POLYGON((-3.648176 50.793465, -3.652811 50.790643, -3.646975 50.782666, -3.613586 50.775123, -3.585005 50.767578, -3.569698 50.763174, -3.556137 50.754052, -3.549871 50.7452, -3.543606 50.746503, -3.551245 50.755681, -3.566694 50.766214, -3.58386 50.771154, -3.610983 50.779675, -3.648176 50.793465))"
Sidbury to Sidford,"POLYGON((-3.223922 50.713547, -3.223629 50.713281, -3.224738 50.712684, -3.22512 50.709395, -3.226912 50.707534, -3.227223 50.70731, -3.227674 50.706195, -3.227195 50.706101, -3.227377 50.705435, -3.22772 50.705496, -3.228189 50.706093, -3.227652 50.707405, -3.227191 50.707833, -3.225635 50.709423, -3.225228 50.712833, -3.223922 50.713547))"
Uplyme Footway,"POLYGON((-2.955344 50.734652, -2.955426 50.73452, -2.954689 50.734303, -2.954037 50.734228, -2.953724 50.734146, -2.953627 50.734286, -2.953981 50.734371, -2.954679 50.734462, -2.955344 50.734652))"
Ilfracombe Mini LCWIP,"POLYGON((-4.12734 51.211131, -4.137383 51.204087, -4.129686 51.193391, -4.119558 51.194574, -4.100075 51.20205, -4.09544 51.21216, -4.12734 51.211131))"
Seaton to Colyford Phases 2 & 3,"POLYGON((-3.065928 50.713835, -3.065692 50.714804, -3.067172 50.715072, -3.067435 50.715496, -3.067406 50.716447, -3.06775 50.717024, -3.066636 50.717888, -3.066387 50.717775, -3.067385 50.716984, -3.067127 50.716651, -3.067047 50.715547, -3.066875 50.715248, -3.06562 50.715075, -3.06533 50.714857, -3.065593 50.713808, -3.065928 50.713835))"
A386 Great Torrington Crossing,"POLYGON((-4.139786 50.952381, -4.139594 50.952277, -4.139782 50.952142, -4.139968 50.952253, -4.139786 50.952381))"
"Woolbrook Road Crossing, Sidmouth","POLYGON((-3.243549 50.69516, -3.243029 50.695031, -3.242546 50.694834, -3.24226 50.694721, -3.241922 50.694592, -3.241745 50.694517, -3.241897 50.694365, -3.242546 50.694623, -3.243118 50.694861, -3.243633 50.695003, -3.243549 50.69516))"
Crediton Road Crossing,"POLYGON((-3.986945 50.745733, -3.986768 50.745591, -3.987352 50.745357, -3.987501 50.745502, -3.986945 50.745733))"
B3213 Exeter Road Crossing,"POLYGON((-3.91528 50.390873, -3.915018 50.390935, -3.914911 50.390785, -3.915179 50.390723, -3.91528 50.390873))"
Drakes Trail - Yelverton to Dousland,"POLYGON((-4.086174 50.491849, -4.083956 50.492614, -4.082408 50.491562, -4.081553 50.491966, -4.080191 50.492116, -4.07581 50.496572, -4.07479 50.496296, -4.07471 50.496391, -4.074023 50.496251, -4.07225 50.496067, -4.067613 50.496081, -4.065049 50.49606, -4.063171 50.496156, -4.061433 50.496422, -4.061272 50.496224, -4.063053 50.495965, -4.065381 50.495842, -4.072623 50.495903, -4.074608 50.496142, -4.074715 50.496012, -4.075638 50.496299, -4.07994 50.491897, -4.081432 50.491678, -4.082451 50.491153, -4.083989 50.49228, -4.085884 50.491562, -4.086174 50.491849))"
Slapton Line Minor Network Improvements,"POLYGON((-3.72802 50.349598, -3.660944 50.355019, -3.629572 50.310408, -3.660564 50.293072, -3.679436 50.273318, -3.699639 50.272797, -3.715968 50.30908, -3.72802 50.349598))"
Elm Grove Road crossing improvement,"POLYGON((-3.461827 50.583268, -3.461537 50.583108, -3.461815 50.582859, -3.462149 50.583036, -3.461827 50.583268))"
Dinan Way,"POLYGON((-3.401674 50.644668, -3.401712 50.644436, -3.403875 50.644525, -3.405 50.644467, -3.406582 50.64411, -3.408247 50.643705, -3.411191 50.643528, -3.412941 50.643165, -3.413031 50.643338, -3.411287 50.643702, -3.410064 50.64381, -3.408294 50.643923, -3.406733 50.644307, -3.405075 50.644647, -3.403927 50.644715, -3.401674 50.644668))"
Honiton Bus Stop Accessibility,"POLYGON((-3.174906 50.80605, -3.176279 50.796828, -3.190098 50.786791, -3.22031 50.786031, -3.218765 50.792596, -3.199539 50.802524, -3.174906 50.80605))"
Axminster Bus Stop Accessibility,"POLYGON((-2.99037 50.794224, -2.976723 50.789938, -2.985449 50.77669, -3.003731 50.769959, -3.01054 50.774471, -2.99037 50.794224))"
School Crossings Package,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
Road Safety School Gate Improvement Pot,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
Shared Mobility,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
Countywide and School Cycle Parking,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
20 MPH Schemes,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
Countywide LCWIP,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.583603 50.481104, -3.593445 50.448378, -3.618965 50.442638, -3.629036 50.427358, -3.597107 50.407232, -3.580284 50.408326, -3.545837 50.373058, -3.506813 50.379654, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.197006 50.429094))"
Decarbonisation of Buses (part-funded),"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Additional / Replacement Bus Shelters,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Lighting and CCTV at Key Interchanges,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Bus Stop Infrastructure,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Decarbonisation of Buses (fully-funded),"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Multi-Operator Ticketing Set-Up,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Real Time Info,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Electric Infrastructure,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Pinch Point Schemes,"POLYGON((-4.197006 50.429094, -4.395905 50.772076, -4.497528 50.795519, -4.421082 50.87022, -4.549713 50.929007, -4.530487 51.035349, -4.397278 51.007706, -4.286041 51.014619, -4.243469 51.212045, -3.724365 51.249882, -3.858948 51.146617, -3.587723 51.050459, -3.611298 51.008192, -3.527527 51.0056, -3.509674 51.034971, -3.373718 51.01856, -2.887001 50.802246, -2.889748 50.789009, -2.958412 50.763391, -2.946854 50.716488, -2.991714 50.698197, -3.236847 50.674706, -3.354263 50.60198, -3.4655 50.581929, -3.500061 50.514354, -3.508759 50.482415, -3.4655 50.463187, -3.478546 50.449635, -3.545151 50.445699, -3.549271 50.421644, -3.545837 50.407642, -3.474426 50.401515, -3.496399 50.376999, -3.519974 50.340257, -3.604202 50.316093, -3.644028 50.287146, -3.645172 50.223598, -3.713837 50.195474, -3.797607 50.206022, -3.874512 50.235018, -3.899231 50.286817, -4.007721 50.300854, -4.035187 50.29156, -4.118958 50.318751, -4.127884 50.347021, -4.088631 50.342831, -4.054184 50.360849, -4.053955 50.375686, -4.023056 50.376562, -4.015503 50.39101, -4.115067 50.442201, -4.156952 50.43914, -4.197006 50.429094))"
Bovey Tracey Gateway,"POLYGON((-3.6795 50.5928, -3.6758 50.5935, -3.674 50.5908, -3.6772 50.5888, -3.6802 50.5905, -3.6795 50.5928))"
