Scheme Name,wkt_geometry
E12 Signage,"POLYGON((-3.525571 50.703627, -3.525656 50.703817, -3.523253 50.704422, -3.520641 50.706131, -3.518264 50.706817, -3.51707 50.705666, -3.515711 50.706236, -3.515625 50.707778, -3.515153 50.708121, -3.508458 50.704748, -3.50805 50.705523, -3.506463 50.706406, -3.505325 50.706066, -3.504188 50.706963, -3.503466 50.706992, -3.50039 50.71051, -3.499703 50.712575, -3.4972 50.713677, -3.498137 50.714613, -3.496678 50.715238, -3.49509 50.716474, -3.492494 50.719857, -3.491979 50.720006, -3.491979 50.722601, -3.493116 50.72544, -3.494768 50.726527, -3.496335 50.726921, -3.500154 50.729203, -3.501012 50.73067, -3.503244 50.731321, -3.502192 50.73158, -3.502836 50.734798, -3.502393 50.734841, -3.501663 50.731391, -3.50215 50.731281, -3.500519 50.730887, -3.499689 50.729327, -3.496034 50.727192, -3.494382 50.726826, -3.492537 50.725658, -3.491364 50.722739, -3.491342 50.719872, -3.4922 50.719546, -3.494704 50.716121, -3.497279 50.714477, -3.49627 50.713635, -3.499217 50.712332, -3.499768 50.710292, -3.503015 50.706679, -3.504016 50.706596, -3.505032 50.705647, -3.506341 50.705986, -3.507621 50.705264, -3.508222 50.704232, -3.508208 50.704233, -3.515182 50.707631, -3.515074 50.706095, -3.51702 50.70521, -3.518572 50.706462, -3.52041 50.705822, -3.523071 50.704198, -3.525571 50.703627))"
Stoke Hill,"POLYGON((-3.515786 50.73452, -3.516172 50.734394, -3.516188 50.734075, -3.516505 50.734326, -3.516816 50.734133, -3.516789 50.734398, -3.517036 50.734584, -3.516601 50.734591, -3.516274 50.734802, -3.516204 50.734605, -3.515786 50.73452))"
Mosshayne to Cranbrook Active Travel Route,"POLYGON((-3.427606 50.744521, -3.427041 50.744081, -3.429151 50.742607, -3.435223 50.744059, -3.440351 50.741833, -3.445101 50.740965, -3.444579 50.739891, -3.445351 50.739769, -3.445973 50.741194, -3.441575 50.74205, -3.437734 50.743381, -3.435223 50.744671, -3.42943 50.743218, -3.427606 50.744521))"
Rifford Road Cycle Path (E12),"POLYGON((-3.498085 50.714641, -3.49723 50.714922, -3.496249 50.715455, -3.495106 50.716444, -3.49384 50.717884, -3.492751 50.719314, -3.492719 50.719765, -3.492499 50.719803, -3.492461 50.719504, -3.492579 50.719134, -3.493513 50.717799, -3.493515 50.717799, -3.49472 50.716383, -3.495932 50.715326, -3.497874 50.714402, -3.498085 50.714641))"
Safer Routes to School - Clyst Vale Footway,"POLYGON((-3.441389 50.758627, -3.441126 50.758539, -3.441373 50.758277, -3.441676 50.758365, -3.441389 50.758627))"
Exeter Cycle Parking,"POLYGON((-3.511877 50.761117, -3.460007 50.738845, -3.463097 50.712738, -3.479118 50.689512, -3.492165 50.684835, -3.504009 50.685488, -3.516483 50.679601, -3.523178 50.684278, -3.536625 50.689077, -3.545036 50.700603, -3.563519 50.706678, -3.565249 50.716247, -3.566108 50.724017, -3.569698 50.727355, -3.565807 50.729315, -3.566136 50.745282, -3.553491 50.745611, -3.53744 50.752915, -3.511877 50.761117))"
Sport England Newtown Exeter Ped/Cycle Infrastructure,"POLYGON((-3.520732 50.728782, -3.519402 50.729366, -3.518372 50.729576, -3.514112 50.730228, -3.513258 50.728402, -3.512707 50.725406, -3.511487 50.723662, -3.510861 50.722133, -3.523221 50.725169, -3.520689 50.727179, -3.520732 50.728782))"
Exeter LCWIP,"POLYGON((-3.511877 50.761117, -3.460007 50.738845, -3.463097 50.712738, -3.479118 50.689512, -3.492165 50.684835, -3.504009 50.685488, -3.516483 50.679601, -3.523178 50.684278, -3.536625 50.689077, -3.545036 50.700603, -3.563519 50.706678, -3.565249 50.716247, -3.566108 50.724017, -3.569698 50.727355, -3.565807 50.729315, -3.566136 50.745282, -3.553491 50.745611, -3.53744 50.752915, -3.511877 50.761117))"
East Devon LCWIP,"POLYGON((-3.457746 50.672773, -3.459606 50.692659, -3.470414 50.700453, -3.463254 50.712916, -3.46241 50.732136, -3.460427 50.739205, -3.465954 50.742024, -3.467896 50.744617, -3.475124 50.746218, -3.480746 50.746985, -3.487108 50.751595, -3.490663 50.753367, -3.494246 50.754222, -3.499911 50.754467, -3.50329 50.756035, -3.506795 50.758627, -3.507335 50.760589, -3.512417 50.761159, -3.534852 50.755901, -3.548638 50.748017, -3.550322 50.748778, -3.551588 50.74763, -3.551889 50.745133, -3.560922 50.744772, -3.567671 50.745526, -3.579708 50.741839, -3.58307 50.741623, -3.585548 50.744081, -3.581847 50.74645, -3.579004 50.748554, -3.573951 50.752702, -3.576504 50.754854, -3.569359 50.755709, -3.570589 50.760269, -3.556761 50.757958, -3.556353 50.758881, -3.559529 50.759932, -3.557491 50.762769, -3.551137 50.765284, -3.552117 50.771157, -3.547311 50.772758, -3.550229 50.774414, -3.563046 50.775034, -3.563361 50.779353, -3.567224 50.779597, -3.571901 50.788741, -3.557296 50.791342, -3.536568 50.791532, -3.525066 50.787082, -3.526154 50.797313, -3.519158 50.796445, -3.511906 50.804392, -3.511777 50.811389, -3.507142 50.812121, -3.496946 50.816897, -3.497636 50.810959, -3.498706 50.808335, -3.499875 50.806348, -3.502729 50.803907, -3.502364 50.798937, -3.491485 50.799785, -3.480788 50.799398, -3.477613 50.796326, -3.483431 50.794069, -3.478142 50.792706, -3.465471 50.801002, -3.459063 50.803223, -3.454871 50.800839, -3.446016 50.799859, -3.437791 50.807891, -3.426007 50.812504, -3.425485 50.811651, -3.419777 50.811441, -3.416837 50.809231, -3.41363 50.806925, -3.409091 50.804797, -3.402364 50.806431, -3.394244 50.807861, -3.380585 50.810684, -3.360329 50.812013, -3.362045 50.820987, -3.366723 50.820255, -3.367796 50.829771, -3.35638 50.833837, -3.35681 50.826599, -3.343635 50.825813, -3.341188 50.839935, -3.343377 50.846763, -3.329301 50.851776, -3.330417 50.856057, -3.321562 50.85757, -3.31913 50.855054, -3.284011 50.854346, -3.2757 50.859118, -3.282909 50.863642, -3.278103 50.86784, -3.265657 50.872011, -3.259606 50.876804, -3.246489 50.887719, -3.218164 50.893187, -3.208551 50.877051, -3.181858 50.876401, -3.164263 50.8816, -3.165379 50.885066, -3.141832 50.88912, -3.143985 50.891382, -3.124981 50.900773, -3.120861 50.897633, -3.090763 50.906064, -3.051853 50.908892, -3.054256 50.873375, -3.033657 50.861458, -3.036575 50.851163, -3.010826 50.857015, -2.997952 50.85138, -2.974606 50.855606, -2.953835 50.819615, -2.959328 50.815385, -2.89032 50.803128, -2.887058 50.791518, -2.896614 50.785319, -2.930775 50.782063, -2.954521 50.762753, -2.934637 50.75378, -2.938614 50.744012, -2.953892 50.727824, -2.947369 50.717717, -2.953377 50.712881, -2.983503 50.704619, -3.023386 50.697599, -3.064699 50.703042, -3.087101 50.695595, -3.095427 50.684828, -3.222456 50.679988, -3.266573 50.666934, -3.282795 50.648379, -3.30554 50.627585, -3.357353 50.61587, -3.357553 50.605801, -3.385363 50.605147, -3.422585 50.615979, -3.457746 50.672773))"
Dryden Road,"POLYGON((-3.50397 50.714233, -3.504501 50.714046, -3.505332 50.714019, -3.506175 50.714196, -3.506266 50.714049, -3.505381 50.713863, -3.504399 50.713893, -3.503834 50.714097, -3.50397 50.714233))"
Heavitree Road Co-Op,"POLYGON((-3.505504 50.721539, -3.505531 50.721399, -3.504265 50.721274, -3.504252 50.721413, -3.505504 50.721539))"
Heavitree Road Police Station,"POLYGON((-3.516769 50.723675, -3.516784 50.723583, -3.517601 50.723732, -3.517583 50.72382, -3.516769 50.723675))"
J29 Bus Lane,"POLYGON((-3.465178 50.730534, -3.459628 50.730603, -3.459306 50.728756, -3.46241 50.727043, -3.465779 50.728754, -3.465178 50.730534))"
Sowton P&R,"POLYGON((-3.473575 50.71657, -3.472068 50.7166, -3.472025 50.716183, -3.470778 50.716036, -3.469761 50.715846, -3.469756 50.715327, -3.472688 50.71573, -3.47352 50.715904, -3.473575 50.71657))"
Exeter Airport Bus Scheme,"POLYGON((-3.422005 50.729705, -3.416712 50.732274, -3.407807 50.732573, -3.404632 50.728919, -3.412163 50.728715, -3.422005 50.729705))"
Torbay Capital,"POLYGON((-3.516455 50.518424, -3.513565 50.516537, -3.495712 50.516728, -3.466873 50.458597, -3.541718 50.432361, -3.46962 50.398889, -3.495712 50.381159, -3.543892 50.373612, -3.557854 50.3799, -3.565493 50.391338, -3.627605 50.431719, -3.613987 50.446137, -3.591385 50.449211, -3.583832 50.477732, -3.569298 50.490559, -3.564119 50.487276, -3.562431 50.494108, -3.544064 50.497384, -3.536739 50.505512, -3.528843 50.506112, -3.520718 50.517636, -3.516455 50.518424))"
Torbay LCWIP,"POLYGON((-3.516455 50.518424, -3.513565 50.516537, -3.495712 50.516728, -3.466873 50.458597, -3.541718 50.432361, -3.46962 50.398889, -3.495712 50.381159, -3.543892 50.373612, -3.557854 50.3799, -3.565493 50.391338, -3.627605 50.431719, -3.613987 50.446137, -3.591385 50.449211, -3.583832 50.477732, -3.569298 50.490559, -3.564119 50.487276, -3.562431 50.494108, -3.544064 50.497384, -3.536739 50.505512, -3.528843 50.506112, -3.520718 50.517636, -3.516455 50.518424))"
Mid Devon LCWIP,"POLYGON((-3.89843 50.878019, -3.91943 50.898824, -3.867245 50.909217, -3.827934 50.90716, -3.74382 50.889621, -3.728199 50.910948, -3.643398 50.921446, -3.595047 50.943963, -3.630753 51.004277, -3.604603 51.007396, -3.534393 51.004263, -3.480835 51.033528, -3.420238 51.030397, -3.380585 51.017656, -3.377151 50.976494, -3.334579 50.98233, -3.291664 50.954223, -3.25407 50.942002, -3.168583 50.947734, -3.171844 50.924368, -3.187809 50.910082, -3.141403 50.890907, -3.186722 50.877261, -3.225861 50.891989, -3.276672 50.860144, -3.364906 50.830445, -3.35907 50.811575, -3.411255 50.804199, -3.424644 50.810925, -3.471451 50.794461, -3.515625 50.801433, -3.524237 50.786899, -3.548155 50.791233, -3.5711 50.78831, -3.561573 50.774906, -3.556309 50.758179, -3.575993 50.750746, -3.585777 50.743849, -3.641324 50.758396, -3.665142 50.759997, -3.671722 50.763774, -3.680778 50.749983, -3.691635 50.753675, -3.708243 50.748489, -3.723879 50.72815, -3.737898 50.723447, -3.732591 50.718568, -3.724051 50.71562, -3.731711 50.712577, -3.735094 50.708037, -3.733828 50.704463, -3.741925 50.705619, -3.750207 50.708636, -3.751945 50.714832, -3.766108 50.726121, -3.766301 50.727642, -3.774412 50.725279, -3.789454 50.72066, -3.795505 50.718595, -3.804646 50.71672, -3.817778 50.716856, -3.826017 50.730215, -3.835945 50.732136, -3.825188 50.740424, -3.816948 50.756526, -3.805833 50.759431, -3.819695 50.769637, -3.824315 50.775849, -3.822083 50.780679, -3.844013 50.781194, -3.839135 50.798045, -3.8445 50.811226, -3.839049 50.818873, -3.85231 50.817219, -3.859921 50.821203, -3.877795 50.818857, -3.882494 50.824713, -3.899603 50.834595, -3.883581 50.847031, -3.903937 50.848064, -3.908658 50.860689, -3.919387 50.862748, -3.925309 50.869736, -3.89843 50.878019))"
A361 North Devon Link Road,"POLYGON((-3.855579 51.038453, -3.860192 51.039937, -3.862875 51.041057, -3.868868 51.045875, -3.871372 51.047573, -3.874097 51.048423, -3.87753 51.048814, -3.890684 51.047532, -3.902142 51.049205, -3.917892 51.048935, -3.924608 51.049272, -3.931603 51.050055, -3.948491 51.052685, -3.950572 51.05286, -3.953104 51.052914, -3.954649 51.053076, -3.957202 51.053805, -3.959692 51.055059, -3.961301 51.055679, -3.967352 51.056947, -3.973618 51.058228, -3.975377 51.058727, -3.989131 51.064162, -3.99544 51.066536, -3.997457 51.067196, -3.99971 51.067641, -4.011426 51.068342, -4.024565 51.071, -4.029944 51.071929, -4.031425 51.071996, -4.031296 51.0717, -4.029815 51.071646, -4.02739 51.071255, -4.009752 51.067736, -4.005268 51.067466, -4.001148 51.067493, -3.996964 51.066751, -3.989282 51.063893, -3.974712 51.058161, -3.961515 51.055477, -3.957911 51.053791, -3.955357 51.052887, -3.952761 51.052591, -3.950508 51.052577, -3.948469 51.052375, -3.934565 51.050109, -3.92611 51.049124, -3.921583 51.048773, -3.918171 51.048598, -3.902485 51.048814, -3.890598 51.047047, -3.87738 51.048382, -3.87356 51.047816, -3.870792 51.046561, -3.863862 51.040989, -3.860815 51.039559, -3.855836 51.037994, -3.855579 51.038453))"
