wkt_geom,UniqueID
"MultiLineString ((-3.55764417791476273 50.34333506663362812, -3.55751847793279152 50.34344786677792882, -3.55721227797284145 50.34377416713768127, -3.55691197801716497 50.34405026745207579, -3.55670167805114312 50.34421656765153585, -3.55633687811112953 50.34450496797902019, -3.55577697821018202 50.34489146842169305, -3.55533417829832787 50.34509616871665827, -3.55444867848478374 50.34541116923576709, -3.5543773785031938 50.34539166927031317, -3.55437227850725712 50.34535276926899883, -3.55444357849431558 50.34529746922600424, -3.55479977842232708 50.34512856901395139, -3.55522227834629723 50.34482006872394777, -3.55572107825957362 50.34444326834105254, -3.55588517826003292 50.34397146811227941),(-3.55981307746890385 50.34215656435156916, -3.55993527749880334 50.34222806416719465, -3.55990977751368787 50.34229306420269978, -3.55940587762500327 50.34228656463131557, -3.5585508776903878 50.34209166549568693, -3.55831167770198764 50.34204286574582454, -3.55801647780595776 50.34209166594970952, -3.55773647799302717 50.34227026605902466, -3.55767037798554675 50.34250736622687583, -3.55768707793405259 50.34302276645505003, -3.55764417791476273 50.34333506663362812))",Speed Limits-546
"MultiLineString ((-3.47185308096381329 50.72217357399809856, -3.47191458090642424 50.7223403734044993),(-3.47163848118686902 50.72156367621553841, -3.47185308096381329 50.72217357399809856))",Speed Limits-570
"MultiLineString ((-3.54284888511746132 50.73026907077434089, -3.54286168514527056 50.7303426707833367, -3.54286808515790286 50.7303763707877593, -3.54288258519019639 50.73046097079814132))",Speed Limits-629
"MultiLineString ((-4.20943267512518382 51.03895986586200451, -4.20893767510381434 51.03898756576523965, -4.20894737526954987 51.03912776563022646, -4.20927817529630932 51.03912356568005748))",Speed Limits-645
"MultiLineString ((-4.20909707131317834 51.05216006309463239, -4.20911987138038324 51.05218716311158289, -4.20915447145265276 51.05220336311381857, -4.20921067155352002 51.05221576310432141))",Speed Limits-666
"MultiLineString ((-3.8363492595277302 51.23070486234929177, -3.83610005916493435 51.23043506173763006, -3.83601485903635275 51.23033106150013793),(-3.83601485903635275 51.23033106150013793, -3.83592975890894472 51.23022916126616622))",Speed Limits-713
"MultiLineString ((-4.19239987013979576 51.05537396744000489, -4.19250107009551343 51.05541676744662283, -4.19259627001428292 51.05539126744608325),(-4.19227827019425181 51.05532256743249775, -4.19239987013979576 51.05537396744000489),(-4.19222177022000064 51.05529866742925549, -4.19227827019425181 51.05532256743249775),(-4.19208617028298036 51.05524126742179192, -4.19222177022000064 51.05529866742925549),(-4.19203757030594382 51.05522066741929876, -4.19208617028298036 51.05524126742179192),(-4.1918947703747742 51.05516026741239699, -4.19203757030594382 51.05522066741929876),(-4.19184407039967333 51.0551388674101787, -4.1918947703747742 51.05516026741239699),(-4.19171287046516117 51.05508336740468422, -4.19184407039967333 51.0551388674101787),(-4.19165797049330191 51.05506066740264259, -4.19171287046516117 51.05508336740468422),(-4.19154057055352336 51.05501046739846061, -4.19165797049330191 51.05506066740264259),(-4.19148437057687229 51.05497436739592843, -4.19154057055352336 51.05501046739846061),(-4.19125287056546458 51.05458676737489299, -4.19128247058107206 51.05466856737886872, -4.19136427059376881 51.05482576738702249, -4.19144937059158806 51.05495186739441493, -4.19148437057687229 51.05497436739592843))",Speed Limits-733
"MultiLineString ((-3.87059677915170708 51.22577846364849563, -3.87045157900218673 51.22589916366428042, -3.87034627882042148 51.2260281636793664, -3.87036477859926231 51.22615006368901192, -3.87035967850327456 51.22620606369401486, -3.87033927841197389 51.22626296369971044, -3.87032247833979026 51.22630806370425205, -3.87032167823936568 51.22636556370920147))",Speed Limits-797
"MultiLineString ((-3.93630727939256886 51.17195516674222233, -3.93637867972702882 51.17207096667235078))",Speed Limits-806
"MultiLineString ((-3.48332796809931189 50.90343326579014871, -3.48329926807863099 50.90349546580264928, -3.48322006804629636 50.90357996583291111, -3.48303936800380542 50.90366316589632589, -3.48295986798294255 50.9037085659240347, -3.48292636796836597 50.903749165936091))",Speed Limits-852
