wkt_geom,GRID_ID,Entity Type
"MultiPolygon (((-4.14738496337178475 50.44947570702463224, -4.14873583954804559 50.44787671791850414, -4.1515799519822183 50.44782414225065992, -4.15307337730660997 50.4493705517425326, -4.15172261961350131 50.4509695839154233, -4.14887832092994646 50.45102216321471644, -4.14738496337178475 50.44947570702463224)))",AMD-3354,Hex
"MultiPolygon (((-3.74131218142673116 50.32089937268803226, -3.74267327137645767 50.31930497134026581, -3.74551040587751816 50.31926238814270391, -3.74698663512828567 50.32081419740935502, -3.7456256499445022 50.32240864585702411, -3.74278832945668594 50.32245123667205178, -3.74131218142673116 50.32089937268803226)))",APT-3397,Hex
"MultiPolygon (((-3.62396581302584186 50.37611327143974904, -3.62533234690428596 50.37452022964851039, -3.62817296828675895 50.37448047815508545, -3.62964724823070828 50.37603376263787425, -3.62828082143375763 50.37762685295622589, -3.62544000856677595 50.37766660970131483, -3.62396581302584186 50.37611327143974904)))",AQV-3380,Hex
"MultiPolygon (((-4.07313666109529926 50.41147169076323564, -4.07448896282245077 50.40987354001978105, -4.07733088463518634 50.40982281456014391, -4.07882069034262518 50.41137023485658375, -4.07746849363332764 50.41296843695248953, -4.07462638478098604 50.41301916742268929, -4.07313666109529926 50.41147169076323564)))",AMU-3366,Hex
"MultiPolygon (((-3.86947916751620236 50.44010724828456205, -3.87083922160475513 50.43851138258776245, -3.87368321508169133 50.43846560188625716, -3.87516734277978525 50.44001568230320487, -3.87380739387581619 50.44161159712683684, -3.87096321208188066 50.44165738250462994, -3.86947916751620236 50.44010724828456205)))",AOQ-3358,Hex
"MultiPolygon (((-3.90046047515547167 50.36090469205672804, -3.90181727394686417 50.35930848831402074, -3.90465650859906876 50.35926200666644093, -3.90613913262553236 50.36081171589213312, -3.90478243615751452 50.36240796448277024, -3.90194301428544454 50.36245445713624491, -3.90046047515547167 50.36090469205672804)))",AOI-3383,Hex
"MultiPolygon (((-3.83973824672094732 50.3335493449833038, -3.84109636213792305 50.33195382174179855, -3.84393407040487656 50.33190884650704078, -3.84541385111325074 50.3334593886557613, -3.84405585391697935 50.33505495207644032, -3.84121795802839738 50.33509993342192956, -3.83973824672094732 50.3335493449833038)))",AOW-3392,Hex
"MultiPolygon (((-3.65680919144284688 50.46221787060281372, -3.65817712378821902 50.46062440059899501, -3.66102280888066778 50.46058381152278827, -3.66250074896714706 50.46213669432120241, -3.66113292527477441 50.46373021397471348, -3.65828705074398908 50.46377080421252259, -3.65680919144284688 50.46221787060281372)))",AQO-3352,Hex
"MultiPolygon (((-3.63539661036492978 50.33660368999092327, -3.63676174091111859 50.33501047723535748, -3.63959998771035442 50.3349704747896638, -3.64107329232604338 50.33652368204639771, -3.63970826529847935 50.33811694434766082, -3.63686982889199717 50.3381569502646613, -3.63539661036492978 50.33660368999092327)))",AQS-3392,Hex
"MultiPolygon (((-3.78292837854780784 50.29508419767100236, -3.78428734311759296 50.29348932741950762, -3.7871228712822731 50.29344574213652663, -3.78859962114048043 50.29499702017445628, -3.78724075998464738 50.29659193673453643, -3.78440504513491449 50.29663552787825864, -3.78292837854780784 50.29508419767100236)))",APJ-3405,Hex
"MultiPolygon (((-4.0183719151373154 50.3274386201031092, -4.01972380343367242 50.32584115895394916, -4.02256083723998259 50.32579183997556527, -4.02404617266896558 50.3273399819990388, -4.02269438960198933 50.3289374888454546, -4.01985716787830238 50.32898681098545524, -4.0183719151373154 50.3274386201031092)))",ANG-3393,Hex
"MultiPolygon (((-3.73177164024881813 50.29270994161382191, -3.73313226471191806 50.29111567487540668, -3.73596773248417513 50.29107334670285923, -3.73744275893551325 50.29262529491445832, -3.73608223261437766 50.29421964269383238, -3.73324657714838848 50.29426197701359058, -3.73177164024881813 50.29270994161382191)))",APV-3406,Hex
"MultiPolygon (((-3.8132364656829969 50.42053574629201051, -3.81459786956288882 50.41894052671501214, -3.81744081363707632 50.41889613988260521, -3.81892254017484012 50.42044696858991415, -3.81756124003828345 50.42204223897088156, -3.81471810913331399 50.42208662837639821, -3.8132364656829969 50.42053574629201051)))",APD-3365,Hex
"MultiPolygon (((-3.71827400866232649 50.39049757903889315, -3.71963779389750027 50.3889034464273422, -3.72247908237355585 50.38886140778414102, -3.72395677432551642 50.39041349710958428, -3.72259309422083495 50.39200767962047678, -3.71975161721280445 50.39204972311775776, -3.71827400866232649 50.39049757903889315)))",APZ-3375,Hex
"MultiPolygon (((-4.01938723448659374 50.45176750548436928, -4.02074253360156053 50.45016997887894661, -4.02358700232388955 50.45012055751138291, -4.02507635976572775 50.45166865726691441, -4.02372116630207888 50.45326623144995182, -4.02087650952030895 50.45331565827355291, -4.01938723448659374 50.45176750548436928)))",ANH-3354,Hex
"MultiPolygon (((-3.80422917772688329 50.40808389040118698, -3.80559054576744238 50.40648877538798445, -3.80843276035601352 50.40644461765736395, -3.80991379207648961 50.40799557252100271, -3.80855252691456148 50.40959073785764843, -3.8057101262483326 50.40963489895495542, -3.80422917772688329 50.40808389040118698)))",APF-3369,Hex
"MultiPolygon (((-3.84715412135113644 50.30509931294396608, -3.84851117905725282 50.3035037315158462, -3.85134715829724916 50.30345860661611823, -3.85282627077422601 50.30500905578015391, -3.85146932235501671 50.3066046815712653, -3.84863315122866512 50.30664981459901242, -3.84715412135113644 50.30509931294396608)))",AOU-3401,Hex
"MultiPolygon (((-3.66723832764863733 50.39438819693349103, -3.6686039480079331 50.39279465112877432, -3.6714455391620322 50.39275385637057525, -3.67292170289687636 50.39430660267716888, -3.67155618915396031 50.39590019858622583, -3.66871440829933393 50.39594099798974725, -3.66723832764863733 50.39438819693349103)))",AQL-3374,Hex
"MultiPolygon (((-3.87453436588406408 50.35188165909421798, -3.87589180191708893 50.35028574662696599, -3.8787305482962835 50.35023990176880204, -3.8802120432020093 50.35178996387851669, -3.87885471334638154 50.35338592213369679, -3.87601578158057736 50.35343177300548945, -3.87453436588406408 50.35188165909421798)))",AOO-3386,Hex
"MultiPolygon (((-3.94866135921209027 50.39316122892079619, -3.95001743444777897 50.39156447490996271, -3.95285852072634425 50.39151681251247084, -3.9543437236396497 50.39306589589243401, -3.95298775847584061 50.39466269079387217, -3.9501464850493706 50.39471035791779485, -3.94866135921209027 50.39316122892079619)))",ANX-3373,Hex
"MultiPolygon (((-3.78143732865045878 50.3690854093042617, -3.78279839016732167 50.36749055447547363, -3.78563831202516532 50.36744697752046562, -3.7871173570332779 50.36899825097179217, -3.78575640106068256 50.37059315724509645, -3.78291629301579801 50.3706367378929798, -3.78143732865045878 50.3690854093042617)))",APK-3381,Hex
"MultiPolygon (((-3.72702677423444406 50.39666386840185197, -3.72839043427958217 50.39506963884596047, -3.73123207815406044 50.39502738240065582, -3.73271024898288672 50.39657935046119519, -3.73134669260442919 50.39817363014253004, -3.72850486169604611 50.3982158908459752, -3.72702677423444406 50.39666386840185197)))",APX-3373,Hex
"MultiPolygon (((-3.86910757280660667 50.43066922851007661, -3.87046737554637099 50.42907336512813998, -3.87331080550679285 50.42902760116671601, -3.87479461994578012 50.43057769422813408, -3.87343492174768755 50.4321736045812159, -3.87059130456598988 50.43221937510663366, -3.86910757280660667 50.43066922851007661)))",AOQ-3361,Hex
