UniqueID,District,Entity Type,WKT
3159-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6898706591825094 50.434727761381339, -3.689895131956221 50.4346201057904224))"
3160-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.689895131956221 50.4346201057904224, -3.6899196046247646 50.4345124501934166))"
3161-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6899196046247646 50.4345124501934166, -3.6898214701033583 50.4344930989861098))"
3162-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6898214701033583 50.4344930989861098, -3.6897233356601284 50.4344737476952503))"
3163-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6897233356601284 50.4344737476952503, -3.6894694960384786 50.4344238286636681))"
3164-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6894694960384786 50.4344238286636681, -3.6892156537402068 50.4343738191780915))"
3165-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6892156537402068 50.4343738191780915, -3.6885887125857115 50.4342623079478969))"
3166-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6885887125857115 50.4342623079478969, -3.6879616303607516 50.4341507054580234))"
3167-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6879616303607516 50.4341507054580234, -3.6871706163790483 50.434046333640957))"
3168-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6871706163790483 50.434046333640957, -3.6863794681996076 50.4339420483481149))"
3169-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6863794681996076 50.4339420483481149, -3.6860797551785951 50.4338492553919551))"
3170-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6860797551785951 50.4338492553919551, -3.6857799022839881 50.4337564638564686))"
3171-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857799022839881 50.4337564638564686, -3.6855637265087937 50.4336883624031458))"
3172-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6855637265087937 50.4336883624031458, -3.685347551349313 50.4336202605401382))"
3173-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.685347551349313 50.4336202605401382, -3.6852243110300749 50.4335956928546381))"
3174-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6852243110300749 50.4335956928546381, -3.6851012115785506 50.433571122998643))"
3175-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6851012115785506 50.433571122998643, -3.6850281263523135 50.433626595773994, -3.684920779821319 50.4336451491746942))"
3176-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.684920779821319 50.4336451491746942, -3.6848929478703329 50.4337179547466121))"
3177-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848929478703329 50.4337179547466121, -3.6848649782836445 50.4337908522448686))"
3178-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6848649782836445 50.4337908522448686, -3.6849932424794289 50.433833965352612))"
3179-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6849932424794289 50.433833965352612, -3.6851215069067793 50.4338770783159234))"
3180-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6851215069067793 50.4338770783159234, -3.6854567469719384 50.4338838250141208))"
3181-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6854567469719384 50.4338838250141208, -3.6856428955268883 50.4338875141912908))"
3182-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6856428955268883 50.4338875141912908, -3.6857439564972392 50.4339576433472345))"
3183-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857439564972392 50.4339576433472345, -3.6857312808678722 50.4341082989835954))"
3184-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857312808678722 50.4341082989835954, -3.6857184612336007 50.434258866759464))"
3185-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857184612336007 50.434258866759464, -3.6857138393724358 50.4342952700514715))"
3186-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857138393724358 50.4342952700514715, -3.6857092175048578 50.434331673343145))"
3187-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857092175048578 50.434331673343145, -3.6857062567875483 50.4343553708288752))"
3188-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857062567875483 50.4343553708288752, -3.6857031585143609 50.4343791602487386))"
3189-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6857031585143609 50.4343791602487386, -3.6856661896770797 50.4347102305165649))"
3190-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6856661896770797 50.4347102305165649, -3.6856293611267197 50.435041298719959))"
3191-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6856293611267197 50.435041298719959, -3.6856278017388377 50.4350608385949428))"
3192-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6856278017388377 50.4350608385949428, -3.68562624554139 50.4350804683650296))"
3193-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.68562624554139 50.4350804683650296, -3.6856181514370276 50.4352134290715881))"
3194-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6856181514370276 50.4352134290715881, -3.6856126258273409 50.4353058915281665))"
3195-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.6889946954237556 50.429804917250209, -3.6891943221553034 50.430133494516717, -3.6903500164628213 50.4300416994198386, -3.690440206533026 50.4298065421726278, -3.6911620345903375 50.4298446775019755))"
3196-TOTN_BOB2_O_280_60,South Hams,Bus Routes,"MultiLineString ((-3.7095289259292725 50.4335471511435216, -3.7090566415979827 50.4335711360212926, -3.7088187785818634 50.4335547527515686, -3.7081620427942239 50.4332658816901187, -3.7081195529534092 50.4331729667000417, -3.7082467745457546 50.4324431152486952))"
