UniqueID,District,Entity Type,WKT
8985-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.5803546713181524 50.7209240134795749, -3.5808613574525388 50.7218584318580383, -3.5813858174095903 50.7222617832065836, -3.5819379106518792 50.7225052121766922, -3.5823560324874264 50.7226323720760348, -3.5835495157865216 50.722733082641895, -3.5850039746835156 50.7230101041963408, -3.5864391277482537 50.7231344817611145, -3.5879511739672676 50.7234376650205121, -3.5886472134363347 50.7234911378722302, -3.5919046503360579 50.7234557015038945, -3.5945496613542094 50.7237433251328653, -3.5955135014594064 50.7235844441702355, -3.6044182947153245 50.7239677280565857, -3.6059997420671221 50.7242247765732301, -3.6078490408290174 50.724855841946443, -3.6090700373355924 50.7251006142682002))"
8990-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6571176046192182 50.7288185559828406, -3.6556719756894482 50.7282349138579747, -3.6535351563126377 50.7274729149830179, -3.6528451337412635 50.7270509249806025, -3.6527468451912237 50.726967690369257, -3.6520310443145227 50.7270085899258731, -3.6482248187517712 50.727098057507213, -3.6465889768631516 50.7268633244954685, -3.6456184809125731 50.726764695082764, -3.6450278566662262 50.726726621521216, -3.6416993216543125 50.7266186857440715))"
8991-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6608905776875487 50.730998639844465, -3.6593149002499517 50.7302417214896764, -3.6571176046192182 50.7288185559828406))"
8992-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6801864171969587 50.7349287336976431, -3.678462001200812 50.7349256040574019, -3.6754006483654309 50.7334921841758728, -3.6752379242742421 50.7333880059037412))"
8998-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.7283767805494401 50.7261457094050741, -3.728146032924613 50.7261771148869016, -3.7274144269323877 50.726387248991152, -3.7270780821493852 50.7268155520862436, -3.7268313983688803 50.7270428720798918, -3.7263369713186654 50.7274342122801656, -3.7258623422120825 50.7277129292348903, -3.7254523043229542 50.7278100103450598, -3.7247662049381143 50.7276785129204981, -3.7246299740781357 50.7276305241382843, -3.7241508394795217 50.7277830327824901, -3.7230130721966574 50.7280620971149929, -3.720802701223231 50.7284082446834574, -3.7183629249696173 50.7285849811070761))"
8999-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6209532615866413 50.7247016460755091, -3.6125747454348893 50.7250784336431835, -3.6114196545708555 50.7252742587663477, -3.6107977699704099 50.7253188179187973, -3.6098750963156179 50.7252685945489006, -3.6090700373355924 50.7251006142682002))"
9002-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6976633164946229 50.7320845656452875, -3.6986679222314121 50.7318785555829521, -3.7027189087527943 50.7307735489934402, -3.7045718419682143 50.7303760428290715, -3.7057627109856801 50.7302396481747309, -3.7071188192350086 50.7301662047803958, -3.7090174205238782 50.7299388338942236, -3.7127707457082129 50.7293704268794485, -3.7149403110303569 50.7288974158195529, -3.7183629249696173 50.7285849811070761))"
9007-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6416993216543125 50.7266186857440715, -3.64090814712387 50.726599033831171, -3.6386598795407394 50.7263248699998712, -3.6371287189036239 50.7259530935183918, -3.6363470671183888 50.7258607293613366, -3.6351166443966521 50.7258889581662018, -3.6337174079773455 50.7261311455632509, -3.6322400740175693 50.7260061251107572, -3.630252071114286 50.7253454672233204, -3.6272893853044046 50.7247186896151661, -3.6268554831155289 50.7246635832272759, -3.6247834990891001 50.7244954903995904, -3.6235914427259059 50.7244850096894169, -3.6220025459588121 50.7246512690212938, -3.6209532615866413 50.7247016460755091))"
9013-SDVN_6A_O_293_93,Teignbridge,Bus Routes,"MultiLineString ((-3.6801864171969587 50.7349287336976431, -3.6828190106693364 50.7348692930353664, -3.6841107788618181 50.7347517189084556, -3.6864752595239496 50.7344747289087437, -3.6876344898382749 50.7342385203368167, -3.6892155693232866 50.7338325105053585, -3.690726566307089 50.7336847085010163, -3.6914028222553248 50.7335590682385273, -3.6932318112669518 50.7329597398813732, -3.6946956406767799 50.7325389019113402, -3.6976633164946229 50.7320845656452875))"
15393-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5181374260215272 50.6926717860468727, -3.5181465112709689 50.6926462162677112))"
15394-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5181465112709689 50.6926462162677112, -3.5181555965107343 50.6926206464877964))"
15395-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5181555965107343 50.6926206464877964, -3.5181613663528668 50.6925801008728456))"
15396-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5181613663528668 50.6925801008728456, -3.518167136185717 50.6925395552573903))"
15397-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.518167136185717 50.6925395552573903, -3.5180958452207181 50.6924583740537997))"
15398-SDVN_C_O_296_92,Teignbridge,Bus Routes,"MultiLineString ((-3.5180958452207181 50.6924583740537997, -3.5183135376826513 50.6923993287309216))"
