UniqueID,District,Entity Type,WKT
39376-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4900794671147333 50.9115014000032886, -3.4901132176925747 50.9115382000813526))"
39377-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4901132176925747 50.9115382000813526, -3.4901469654528969 50.9115749102552186))"
39378-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4901469654528969 50.9115749102552186, -3.4902905559044202 50.9117371090840791))"
39379-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4902905559044202 50.9117371090840791, -3.4904341502363492 50.9118993976312808))"
39380-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904341502363492 50.9118993976312808, -3.4905545121691781 50.9120379714541329))"
39381-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4905545121691781 50.9120379714541329, -3.4906748748244913 50.91217654515318))"
39382-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4906748748244913 50.91217654515318, -3.4907195770101662 50.912234449467185))"
39383-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4912592975343357 50.9025103070344969, -3.4913602766913945 50.9029879675456414))"
39384-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4913602766913945 50.9029879675456414, -3.4910082914954201 50.9029663009264013))"
39385-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4910082914954201 50.9029663009264013, -3.4906561673088943 50.9029447249568534))"
39386-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4906561673088943 50.9029447249568534, -3.4905530671801057 50.9029317444718004))"
39387-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4905530671801057 50.9029317444718004, -3.4904499642355984 50.9029186740010076))"
39388-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904499642355984 50.9029186740010076, -3.4904039658541994 50.9029123375152821))"
39389-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904039658541994 50.9029123375152821, -3.4904036786521293 50.902912251256744))"
39390-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4904036786521293 50.902912251256744, -3.490210256395597 50.9028855867892887))"
39391-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.490210256395597 50.9028855867892887, -3.4899756898003194 50.9028531528123409))"
39392-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4899756898003194 50.9028531528123409, -3.4899704067190966 50.9028525009010764))"
39393-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4899704067190966 50.9028525009010764, -3.4898874915853586 50.9028391718585382))"
39394-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4898874915853586 50.9028391718585382, -3.4898045764976562 50.9028258427568758))"
39395-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4898045764976562 50.9028258427568758, -3.4896387464604248 50.9027991843761711))"
39396-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4896387464604248 50.9027991843761711, -3.4895608920732348 50.9027839917998293))"
39397-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4895608920732348 50.9027839917998293, -3.4894830377355932 50.9027687991713336))"
39398-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4894830377355932 50.9027687991713336, -3.4892320130502821 50.9026484415508378))"
39399-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4892320130502821 50.9026484415508378, -3.4889809867824466 50.9025279934882064))"
39400-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4889809867824466 50.9025279934882064, -3.4888950792273694 50.9024966258245399))"
39401-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4888950792273694 50.9024966258245399, -3.4888091689186829 50.9024651682025464))"
39402-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4888091689186829 50.9024651682025464, -3.4887927786474378 50.9024596219778047))"
39403-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4887927786474378 50.9024596219778047, -3.488776533412091 50.902454163829276))"
39404-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.488776533412091 50.902454163829276, -3.4887128434567884 50.9024326744473967))"
39405-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4887128434567884 50.9024326744473967, -3.4886491564269586 50.9024112749248943))"
39406-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4886491564269586 50.9024112749248943, -3.4885362260028585 50.9024200016921284))"
39407-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4885362260028585 50.9024200016921284, -3.4884234376986329 50.9024287265347439))"
39408-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4884234376986329 50.9024287265347439, -3.4882332151707764 50.9024487821208211))"
39409-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4882332151707764 50.9024487821208211, -3.4880431346380285 50.902468835582475))"
39410-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4880431346380285 50.902468835582475, -3.48798718321367 50.9024759350241709))"
39411-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.48798718321367 50.9024759350241709, -3.4879312317718196 50.9024830344391006))"
39412-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4879312317718196 50.9024830344391006, -3.4878151934665182 50.90250246690794))"
39413-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4782972400232559 50.9159938122942037, -3.4782936454176827 50.9159949019519971))"
39414-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4782936454176827 50.9159949019519971, -3.4782450286750692 50.9160095473570493))"
39415-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4782450286750692 50.9160095473570493, -3.4781586818673618 50.9160277285797491))"
39416-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4781586818673618 50.9160277285797491, -3.478072337839865 50.9160459996330204))"
39417-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.478072337839865 50.9160459996330204, -3.4779916756760909 50.9160505291481584))"
39418-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4779916756760909 50.9160505291481584, -3.4779110134955622 50.9160550586075473))"
39419-DTCO_343_O_296_112,Mid Devon,Bus Routes,"MultiLineString ((-3.4779110134955622 50.9160550586075473, -3.4777433892805747 50.916062848218985))"
